Participants,Using VedicViz is compatible with my learning style,Using VedicViz fits well with the way I like to learn new concepts,Using VedicViz would improve my scope of understanding real-time use of concepts in the VedicViz,Using VedicViz would increase my productivity in learning Vedic Mathematics,Using VedicViz would enhance my effectiveness in learning and understanding multiple principles of Vedic Mathematics,Using VedicViz would make it easier for me to learn Vedic Mathematics,I think using VedicViz is very useful for me to learn.,I think learning to use VedicViz is easy,I think becoming skillful at using VedicViz is easy,I think using VedicViz is easy,"Assuming I had access to VedicViz, I intend to use it",VedicViz has made my learning interactive,I would often engage learning Vedic Mathematics via VedicViz,Visualizations displayed by VedicViz are relevant to the operations selected,Suggestions if any
Participant1,4,3,4,3,4,2,2,3,4,3,4,5,4,3,Please add more features and give a detailed explanation. The website helps in visualizing stuff but the explanation is not easy to understand
Participant2,4,5,4,3,5,5,5,3,4,3,5,5,4,5,
Participant3,2,3,4,3,4,5,4,4,3,5,4,4,4,3,it is fun to see. It would have been great if some videos were also added which would explain stuff. also some references could be added so that the interested user can learn more about the topic
Participant4,3,3,4,4,5,5,4,2,4,2,4,3,4,5,NA
Participant5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,great website looking forward to more stuff like this. I possible can you make something for other maths topics also.
Participant6,3,4,4,4,5,4,5,4,3,5,4,5,4,4,
Participant7,3,4,4,5,4,5,4,5,4,5,4,5,4,5,give solved examples on the website so that we can see how to use it other than that this is great
Participant8,4,5,4,5,5,5,4,5,5,4,5,5,4,4,
Participant9,5,5,5,5,5,5,4,4,4,4,4,5,5,5,
Participant10,3,4,5,5,5,4,3,4,4,4,5,5,4,3,
Participant11,3,3,4,5,5,4,5,4,5,5,5,5,4,5,
Participant12,4,5,3,5,4,3,5,4,4,3,5,4,5,3,this is nice make more cool stuff
Participant13,3,3,3,3,4,3,3,3,3,3,4,3,3,4,
Participant14,4,4,3,4,4,3,5,4,5,4,4,5,3,4,
Participant15,4,4,3,4,4,3,3,3,4,5,4,5,4,4,make something which makes school maths more fun
Participant16,4,4,3,4,4,3,3,3,3,4,3,4,4,5,
Participant17,4,4,3,2,4,4,4,3,4,4,4,3,4,4,
Participant18,3,4,4,2,4,3,4,4,3,3,4,4,4,4,make the animations faster it takes too long
Participant19,4,4,4,4,4,4,4,4,5,4,3,4,3,4,
Participant20,3,4,5,4,4,3,4,4,4,4,4,4,4,5,
Mean,3.6,4,3.9,3.95,4.4,3.9,4,3.75,4,3.95,4.2,4.4,4,4.2,
Standard Deviation,0.7348469228,0.7071067812,0.7,0.9733961167,0.4898979486,0.9433981132,0.8366600265,0.7664854858,0.7071067812,0.8645808233,0.6,0.7348469228,0.5477225575,0.7483314774,
